OrderID,OrderDate,CustomerID,Region,City,Category,Product,Quantity,UnitPrice,DiscountPct,Sales,Cost,Profit,PaymentMode
ORD00001,2024-04-24,CUST1151,East,Kolkata,Electronics,Headphones,2,44583.57,10,89167.14,64126.77,25040.37,Credit Card
ORD00002,2024-04-21,CUST1107,North,Delhi,Beauty,Face Cream,2,1337.58,0,2675.16,1489.08,1186.08,Net Banking
ORD00003,2024-03-22,CUST1026,East,Kolkata,Clothing,Shoes,6,1652.37,0,9914.22,6141.54,3772.68,UPI
ORD00004,2024-06-25,CUST1031,North,Chandigarh,Electronics,Smartwatch,5,16974.47,5,84872.35,47601.73,37270.62,Net Banking
ORD00005,2024-11-12,CUST1197,East,Bhubaneswar,Beauty,Face Cream,3,1506.78,0,4520.34,3282.41,1237.93,Debit Card
ORD00006,2024-07-13,CUST1090,South,Bengaluru,Home & Kitchen,Mixer,3,5714.22,0,17142.66,13003.18,4139.48,UPI
ORD00007,2024-11-21,CUST1069,North,Lucknow,Clothing,Jacket,2,2009.25,5,4018.5,2456.12,1562.38,Cash on Delivery
ORD00008,2024-04-27,CUST1145,East,Kolkata,Sports,Football,1,6518.35,0,6518.35,4238.83,2279.52,Debit Card
ORD00009,2024-11-25,CUST1137,West,Ahmedabad,Home & Kitchen,Cookware Set,4,2143.02,15,8572.08,5013.87,3558.21,Net Banking
ORD00010,2024-07-23,CUST1023,West,Pune,Home & Kitchen,Lamp,3,3022.19,10,9066.57,7247.67,1818.9,Cash on Delivery
ORD00011,2024-03-22,CUST1119,South,Hyderabad,Electronics,Headphones,6,26196.36,5,157178.16,88944.28,68233.88,Net Banking
ORD00012,2024-02-28,CUST1028,North,Lucknow,Sports,Yoga Mat,6,7124.39,20,42746.34,31534.81,11211.53,UPI
ORD00013,2024-01-02,CUST1129,South,Chennai,Home & Kitchen,Bedsheet,6,10572.31,10,63433.86,39065.57,24368.29,Debit Card
ORD00014,2024-07-10,CUST1153,South,Bengaluru,Electronics,Laptop,2,33053.67,10,66107.34,49227.27,16880.07,Credit Card
ORD00015,2024-07-04,CUST1021,North,Delhi,Home & Kitchen,Bedsheet,3,3253.7,10,9761.1,5956.4,3804.7,Credit Card
ORD00016,2024-12-03,CUST1108,South,Bengaluru,Beauty,Face Cream,4,2375.09,10,9500.36,5617.39,3882.97,Net Banking
ORD00017,2024-06-08,CUST1115,South,Hyderabad,Clothing,Cap,4,3484.48,5,13937.92,9930.34,4007.58,Net Banking
ORD00018,2024-06-22,CUST1018,South,Bengaluru,Electronics,Smartphone,1,35916.06,0,35916.06,21820.04,14096.02,Credit Card
ORD00019,2024-06-18,CUST1138,North,Delhi,Electronics,Smartphone,1,31578.13,5,31578.13,19566.42,12011.71,Debit Card
ORD00020,2024-08-30,CUST1108,West,Mumbai,Clothing,Cap,4,909.31,5,3637.24,2088.62,1548.62,UPI
ORD00021,2024-11-30,CUST1063,North,Lucknow,Beauty,Lipstick,6,381.28,0,2287.68,1488.49,799.19,Credit Card
ORD00022,2024-08-04,CUST1140,West,Mumbai,Clothing,Jeans,2,1191.34,0,2382.68,1459.28,923.4,Cash on Delivery
ORD00023,2024-05-01,CUST1015,North,Delhi,Electronics,Headphones,2,25275.22,20,50550.44,33885.96,16664.48,Cash on Delivery
ORD00024,2024-05-15,CUST1169,North,Chandigarh,Clothing,Shoes,4,1212.8,15,4851.2,3512.99,1338.21,Net Banking
ORD00025,2024-04-21,CUST1014,South,Chennai,Beauty,Shampoo,1,1511.07,15,1511.07,1035.91,475.16,UPI
ORD00026,2024-09-28,CUST1017,West,Pune,Electronics,Tablet,2,4827.46,20,9654.92,6535.97,3118.95,Debit Card
ORD00027,2024-03-02,CUST1107,South,Chennai,Sports,Cricket Bat,5,2271.24,10,11356.2,7933.78,3422.42,Credit Card
ORD00028,2024-04-14,CUST1171,East,Patna,Sports,Running Shoes,6,5843.06,5,35058.36,21374.08,13684.28,Debit Card
ORD00029,2024-01-05,CUST1137,East,Kolkata,Home & Kitchen,Bedsheet,4,7643.33,0,30573.32,21118.47,9454.85,Credit Card
ORD00030,2024-06-27,CUST1139,East,Kolkata,Clothing,Cap,1,3113.66,0,3113.66,2000.16,1113.5,Cash on Delivery
ORD00031,2024-10-10,CUST1029,North,Lucknow,Home & Kitchen,Lamp,3,11215.19,0,33645.57,19376.37,14269.2,UPI
ORD00032,2024-05-24,CUST1129,South,Chennai,Electronics,Tablet,5,13821.83,15,69109.15,43934.07,25175.08,UPI
ORD00033,2024-11-20,CUST1163,North,Delhi,Beauty,Perfume,4,2098.97,0,8395.88,4710.27,3685.61,Debit Card
ORD00034,2024-12-27,CUST1139,West,Pune,Home & Kitchen,Cookware Set,4,6950.43,15,27801.72,16068.52,11733.2,Debit Card
ORD00035,2024-03-06,CUST1091,South,Chennai,Electronics,Laptop,1,19533.11,20,19533.11,15133.19,4399.92,Credit Card
ORD00036,2024-10-13,CUST1045,North,Chandigarh,Clothing,Jeans,4,3416.28,0,13665.12,10076.24,3588.88,Debit Card
ORD00037,2024-06-19,CUST1068,South,Hyderabad,Beauty,Face Cream,4,2035.25,20,8141.0,6236.14,1904.86,Debit Card
ORD00038,2024-08-28,CUST1058,West,Mumbai,Clothing,T-Shirt,2,938.63,0,1877.26,1463.54,413.72,UPI
ORD00039,2024-06-17,CUST1164,South,Chennai,Clothing,T-Shirt,3,3065.93,0,9197.79,7282.1,1915.69,UPI
ORD00040,2024-02-29,CUST1027,East,Kolkata,Sports,Dumbbells,3,1757.12,0,5271.36,4167.71,1103.65,Credit Card
ORD00041,2024-06-09,CUST1048,East,Bhubaneswar,Sports,Dumbbells,4,5007.19,5,20028.76,13576.61,6452.15,Net Banking
ORD00042,2024-09-23,CUST1093,West,Mumbai,Home & Kitchen,Mixer,5,8398.86,15,41994.3,32968.29,9026.01,Debit Card
ORD00043,2024-06-09,CUST1079,East,Bhubaneswar,Beauty,Face Cream,6,2142.84,0,12857.04,9384.85,3472.19,Net Banking
ORD00044,2024-05-31,CUST1157,West,Pune,Beauty,Perfume,5,449.13,5,2245.65,1471.15,774.5,Debit Card
ORD00045,2024-01-01,CUST1167,West,Pune,Sports,Yoga Mat,3,2580.54,10,7741.62,5089.9,2651.72,Net Banking
ORD00046,2024-12-11,CUST1168,West,Ahmedabad,Home & Kitchen,Bedsheet,2,6378.5,20,12757.0,9547.77,3209.23,Debit Card
ORD00047,2024-04-30,CUST1011,East,Kolkata,Electronics,Laptop,6,19659.54,0,117957.24,88661.47,29295.77,Credit Card
ORD00048,2024-07-31,CUST1102,North,Chandigarh,Clothing,Shoes,6,2142.15,5,12852.9,9377.3,3475.6,Cash on Delivery
ORD00049,2024-08-05,CUST1012,North,Delhi,Clothing,Jeans,2,862.84,10,1725.68,1362.41,363.27,Cash on Delivery
ORD00050,2024-03-09,CUST1193,North,Chandigarh,Sports,Football,4,5473.59,10,21894.36,17449.22,4445.14,UPI
ORD00051,2024-08-16,CUST1163,West,Pune,Beauty,Sunscreen,2,1897.59,0,3795.18,2537.72,1257.46,Debit Card
